Delivery_location_latitude,Delivery_location_longitude,price
18.50618102,73.80730391,39732.63
18.59260715,73.91052806,33564.01
18.55979909,73.94944758,33430.84
18.53979877,73.7560052,37362.94
18.4734028,73.92947317,44563.69
18.47339918,73.87452611,45812.74
18.45871254,73.94467652,48502.64
18.57992642,73.8430019,57540.65
18.54016725,73.91947759,36215.58
18.55621089,73.76247881,50545.74
18.45308767,73.81705581,48284.43
18.59548648,73.76340331,35155.81
18.5748664,73.94506863,29157.13
18.48185087,73.91339478,42895.76
18.47727375,73.92050948,35613.53
18.47751068,73.93759305,25014.31
18.49563634,73.7670207,23126.12
18.52871346,73.82711952,88845.33
18.51479175,73.76420698,38909.02
18.49368437,73.79215862,24133.8
18.54177793,73.79587316,46779.4
18.47092408,73.84382144,63129.15
18.4938217,73.80371243,47409.67
18.50495428,73.77019562,40089.52
18.5184105,73.78349822,56813.01
18.56777639,73.77945511,26091.57
18.47995107,73.94461536,39544.95
18.52713517,73.9018585,64037.5
18.53886219,73.94355229,60626.19
18.45696756,73.8379481,40900.65
18.54113173,73.8056737,41393.9
18.47557862,73.90965864,25314.36
18.45975774,73.81525078,67523.41
18.59233283,73.80987667,69491.61
18.5948448,73.7965012,28706.35
18.5712596,73.7759358,41747.53
18.49569207,73.80129261,64295.14
18.46465082,73.82106395,46056.6
18.55263495,73.88479884,47537.66
18.51602287,73.76251297,32132.91
18.46830574,73.79210139,32358.87
18.52427654,73.91180473,62370.22
18.45515828,73.77938438,47089.39
18.58639806,73.81852903,43745.66
18.488817,73.92293178,27173.7
18.54937834,73.78098506,33897.98
18.49675666,73.76654737,43418.74
18.5280102,73.8469076,85439.62
18.53200654,73.8104839,47212.07
18.47772817,73.86268167,59692.58
18.59543769,73.91076098,23515.06
18.56626992,73.7774297,35986.47
18.59092484,73.86613982,71669.14
18.5842241,73.85110175,44560.62
18.539685,73.77881576,47373.98
18.58828114,73.8747997,50776.71
18.46327388,73.80472808,55243.59
18.47939743,73.84756686,59149.18
18.45678409,73.76645446,37324.19
18.49879955,73.84191681,92650.34
18.50830159,73.81129269,50738.61
18.49070235,73.91447624,36533.75
18.57431063,73.76139575,21984.41
18.503513,73.83372145,90770.59
18.49214018,73.84168628,46830.82
18.53140441,73.89500122,59883.74
18.47113863,73.86485752,49903.78
18.57032955,73.88344247,42230.89
18.4611826,73.90540986,25688.06
18.59803304,73.92244059,50199.56
18.56583672,73.8127751,49507.4
18.47980735,73.85760454,45199.34
18.45082832,73.91802162,24605.89
18.57231921,73.94789023,29939.35
18.5560286,73.92790386,21758.42
18.55935108,73.82429345,55258.02
18.56569055,73.7890333,28068.79
18.4611067,73.84787851,57513.94
18.50376986,73.89832829,39610.02
18.46738036,73.84851381,54830.34
18.57946551,73.84663617,57850.87
18.54349472,73.91764608,37247.09
18.4996347,73.82228076,51008.67
18.45953375,73.92195893,30118.84
18.49664735,73.83136096,46256.99
18.4987775,73.81564662,57182.23
18.55944093,73.84079798,57569.63
18.54563362,73.90248939,54308.09
18.58308191,73.77520041,26423.04
18.52083224,73.78928384,40367.85
18.46793914,73.94028897,27333.49
18.55698672,73.78509833,37871.67
18.56411776,73.86354546,55739.21
18.53419158,73.86586289,76992.88
18.56564508,73.84792489,63493.81
18.52406934,73.87894905,69903.28
18.52840992,73.79596535,61043.48
18.51413115,73.86053245,70580.39
18.45381287,73.82443465,62238.31
18.46618371,73.88233345,52981.52
18.45471438,73.77824471,45957.87
18.54546156,73.86417548,44132.34
18.4971534,73.78705407,31241.65
18.5262856,73.80572861,41859.88
18.58613497,73.79374196,51451.27
18.48739383,73.78656756,49566.47
18.51155744,73.91514219,41081.21
18.56333267,73.80714151,58811.78
18.48431972,73.93542476,37108.71
18.46154699,73.94398531,25674.33
18.49346272,73.86425209,46968.01
18.47418319,73.77860022,49677.55
18.58945465,73.82490965,53495.27
18.57121806,73.90954645,24403.11
18.54501056,73.82347815,46357.07
18.58071909,73.76740344,29707
18.57055081,73.86135698,57234.75
18.47798551,73.91902417,31109.57
18.58388385,73.90918528,34279.43
18.53090134,73.78502463,36791.56
18.57111602,73.88455292,51709.1
18.58441369,73.79410085,23766.06
18.49770052,73.79364151,58487.88
18.46650779,73.92481435,27005.7
18.48419027,73.79993379,61753.19
18.51406617,73.80264947,42283.13
18.57270221,73.75013068,35888.48
18.57910959,73.92413381,29366.9
18.45104282,73.90851896,41936.36
18.5266121,73.87546579,92420.46
18.51261165,73.90005315,43975.2
18.48331617,73.78040971,27266.53
18.46797981,73.84166472,59489.4
18.50064228,73.82024388,44900.78
18.59143646,73.76875531,40851.75
18.49848044,73.8472261,69916.91
18.52781859,73.93414793,53991.21
18.55545284,73.75801182,37058.76
18.50454444,73.80829218,42463.36
18.59576731,73.79150819,41129.67
18.59436709,73.79762933,35053.27
18.48776734,73.93168691,27556.57
18.52458728,73.84361381,77685.6
18.49513175,73.84325988,81847.14
18.49272607,73.90211513,23789.75
18.45553304,73.78089844,48728.28
18.54143465,73.84745307,87050.94
18.52540185,73.83599704,70160.12
18.45772181,73.86938214,66620.48
18.49179697,73.94991154,30719.77
18.58623988,73.90388978,38533.06
18.48593428,73.82957314,47360.48
18.47173423,73.91551061,43045.3
18.52341791,73.78414167,53486.85
18.59784757,73.75609274,38217.86
18.48630829,73.79088967,27227.77
18.55082033,73.81808231,47524.48
18.56424294,73.85211615,53393.12
18.48564563,73.87302583,46284.98
18.55923245,73.93212114,30758.74
18.50516747,73.8519708,87614.71
18.54484587,73.85025513,92009.43
18.54502946,73.7600486,41774.05
18.5303662,73.75698231,38804.28
18.46354347,73.86023199,66913.9
18.57529537,73.83763572,66634.49
18.49811701,73.91783608,47687.74
18.47797778,73.78213592,20807.12
18.45611627,73.75499433,40848.85
18.53863394,73.83980775,90605.07
18.55163465,73.79749571,22197.29
18.45248817,73.75992287,37850.93
18.52681396,73.89491966,53038.16
18.48397437,73.7723186,31361.24
18.54677592,73.8716639,64400.26
18.47615496,73.80620995,51891.56
18.55364066,73.78469921,41959.84
18.5080103,73.8259503,82597.59
18.5905095,73.91028916,28083.01
18.47062814,73.82841872,57241.22
18.50115995,73.90015393,57494.35
18.46702103,73.77509726,49217.17
18.58870404,73.90455428,32032.34
18.5816009,73.79738666,23590.73
18.48869124,73.88547863,71573.76
18.54899761,73.86315631,60621.44
18.57258333,73.93582894,49022.59
18.53328012,73.8274645,70198.88
18.52944759,73.76323304,42057.59
18.48627784,73.7538311,24018.1
18.46396542,73.91537171,46108.43
18.58458236,73.85494713,68317.52
18.58506271,73.90504881,35668.42
18.54496522,73.79688512,37394.76
18.50085447,73.81901675,42859.76
18.50238144,73.75602077,49441.5
18.55889335,73.94229846,35820.36
18.58456654,73.88357358,62750.91
18.58306296,73.93664102,29785.29
18.56698133,73.80309928,51984.41
18.54630475,73.87229272,42548.07
18.46262099,73.88569999,60238.91
18.47424431,73.81350994,51740.5
18.58478313,73.91962185,48222.01
18.54096436,73.93943229,54640.68
18.45137956,73.92697102,33003.96
18.46522073,73.8978134,28950.8
18.54952527,73.80549294,67071.91
18.45075924,73.80632321,39534.14
18.47412121,73.94267206,30850.5
18.53231007,73.7520569,60101.74
18.55378428,73.89320999,61528.23
18.54779419,73.89124923,57888.81
18.4836404,73.87453791,48040.66
18.55682688,73.94802177,45630.31
18.48558736,73.81237589,45172.16
18.49880995,73.81799437,46493.8
18.56197371,73.76578788,27412.09
18.54744493,73.83855963,71828.56
18.57738351,73.80220971,68512.74
18.54864193,73.81867734,57974.31
18.53524629,73.91691436,54522.21
18.46405122,73.9370969,49672.89
18.50515737,73.78714661,38713.83
18.48978036,73.82450179,39223.72
18.48659845,73.93572611,39009.63
18.59595158,73.76236169,36891.9
18.50896466,73.76847211,46126.09
18.58380698,73.7825582,23512.96
18.54467079,73.86904257,55540.28
18.5692217,73.78009445,30283.35
18.52539556,73.94361528,43624.03
18.53653558,73.83934291,73755.52
18.52387765,73.85030359,77059.92
18.47928645,73.79933172,49640.18
18.55836782,73.84419205,49176.64
18.49211585,73.88238273,71297.2
18.45364739,73.90023543,49025.06
18.54682084,73.90077362,52622.4
18.4765666,73.86557822,71366.26
18.59106879,73.93087195,50365.01
18.59308929,73.91348157,31307.26
18.58722966,73.90140962,33984.7
18.50552381,73.7611211,60568.43
18.45231849,73.75137559,38258.79
18.58924778,73.79248946,28044.43
18.51422762,73.88270472,56068.51
18.59499822,73.8322395,46085.75
18.594543,73.83048125,50094.1
18.57795142,73.92691738,27455.88
18.49416733,73.92911257,28392.53
18.50776466,73.93183505,35526.76
18.5776705,73.81277562,66334.63
18.4975383,73.88821116,50814.33
18.47542391,73.80432664,41637.42
18.53352019,73.78812197,34406.2
18.59042322,73.78692649,38337.11
18.55440447,73.81842152,69700.98
18.53550918,73.83599152,71434.75
18.46457647,73.91618983,24031.78
18.54225108,73.77397822,44945.69
18.59850808,73.89698517,58807.17
18.4710126,73.85629098,50766.03
18.52774945,73.80758907,40872.24
18.58160596,73.84856392,52647.66
18.56111529,73.80998841,49337.74
18.55455236,73.86921639,69367.18
18.55537261,73.83676878,41172
18.50392367,73.78288111,38833.68
18.49403878,73.77331661,44256.58
18.57140417,73.85933914,66925.98
18.57151701,73.93048261,23975.72
18.58006085,73.81879154,69126.27
18.58698608,73.89660002,62707.88
18.52670136,73.88173227,43564.88
18.52522744,73.93631098,49068.23
18.56974428,73.9141962,29543.23
18.54749459,73.86332105,46407.9
18.55529503,73.8814061,50642.58
18.5693689,73.92967729,38031.83
18.5835008,73.82990376,64692.46
18.50069927,73.81535894,49952.06
18.50633744,73.75216222,42233.62
18.46409729,73.91531021,35083.14
18.53674202,73.91019614,54723.76
18.45539134,73.7708909,42548.49
18.5198397,73.86537148,76888.06
18.5313967,73.84279634,84674.65
18.49298119,73.77374182,31680.83
18.53862499,73.94611365,56879.09
18.45457504,73.79293918,24940.25
18.45560223,73.76344684,27707.75
18.57339008,73.86896948,54689.05
18.5040286,73.89777334,62069.54
18.46905908,73.75648869,37199.77
18.52833649,73.88174353,64348.98
18.56549903,73.85645838,45005.57
18.48237315,73.770653,33805.26
18.54343357,73.78450478,44368.93
18.46280212,73.86359486,59940.8
18.45775226,73.80927152,63405.13
18.52970319,73.93766315,60630.53
18.53109527,73.91374805,55492.93
18.54561449,73.94671344,39875.16
18.5589137,73.80193417,68384.25
18.59637781,73.94394473,32139.69
